x,y
0,0.6186
1,0.6291
2,0.649
3,0.6709
4,0.6868
5,0.7264
6,0.7639
7,0.7991
8,0.8175
9,0.8362
10,0.8473
11,0.8558
12,0.9109
13,0.9332
14,0.9613
15,0.9801
16,0.9917
17,1.016
18,1.053
19,1.062
20,1.085
21,1.103
22,1.111
23,1.12
24,1.138
25,1.148
26,1.159
27,1.17
28,1.176
29,1.187
30,1.195
31,1.213
32,1.217
33,1.221
34,1.224
35,1.228
36,1.232
37,1.235
38,1.238
39,1.242
40,1.246
41,1.254
42,1.259
43,1.267
44,1.272
45,1.279
46,1.285
47,1.291
48,1.296
49,1.3
50,1.304
51,1.308
52,1.312
53,1.316
54,1.319
55,1.323
56,1.325
57,1.326
58,1.327
59,1.329
60,1.332
61,1.334
62,1.335
63,1.335
64,1.335
65,1.333
66,1.331
67,1.329
68,1.326
69,1.322
70,1.318
71,1.313
72,1.308
73,1.305
74,1.3
75,1.296
76,1.292
77,1.287
78,1.281
79,1.276
80,1.271
81,1.266
82,1.261
83,1.256
84,1.249
85,1.242
86,1.236
87,1.228
88,1.22
89,1.211
90,1.2
91,1.189
92,1.178
93,1.168
94,1.157
95,1.147
96,1.135
97,1.122
98,1.108
99,1.094
100,1.079
101,1.064
102,1.049
103,1.032
104,1.014
105,0.9954
106,0.9764
107,0.9571
108,0.9378
109,0.9184
110,0.899
111,0.8788
112,0.8574
113,0.8353
114,0.8134
115,0.7914
116,0.7697
117,0.7486
118,0.7274
119,0.707
120,0.6875
121,0.6682
122,0.6491
123,0.6298
124,0.6103
125,0.5903
126,0.57
127,0.549
128,0.5276
129,0.5068
130,0.4859
131,0.4642
132,0.4423
133,0.4205
134,0.3988
135,0.3777
136,0.3576
137,0.3377
138,0.3177
139,0.2975
140,0.2768
141,0.2556
142,0.2343
143,0.2132
144,0.1924
145,0.1718
146,0.1508
147,0.1294
148,0.1076
149,0.08506
150,0.06241
151,0.03971
152,0.01763
153,-0.008148
154,-0.02964
155,-0.05084
156,-0.07226
157,-0.09325
158,-0.1137
159,-0.1334
160,-0.1527
161,-0.1714
162,-0.1903
163,-0.2099
164,-0.2303
165,-0.2504
166,-0.2697
167,-0.2887
168,-0.3079
169,-0.3258
170,-0.3427
171,-0.3587
172,-0.374
173,-0.3894
174,-0.4059
175,-0.424
176,-0.4432
177,-0.463
178,-0.4831
179,-0.5027
180,-0.5219
181,-0.5415
182,-0.5606
183,-0.5793
184,-0.5978
185,-0.6162
186,-0.6339
187,-0.6519
188,-0.6704
189,-0.6894
190,-0.7078
191,-0.7257
192,-0.7428
193,-0.7599
194,-0.7759
195,-0.7912
196,-0.8051
197,-0.8181
198,-0.8308
199,-0.8434
200,-0.8563
201,-0.8702
202,-0.8853
203,-0.8994
204,-0.9129
205,-0.9261
206,-0.9388
207,-0.9509
208,-0.963
209,-0.9756
210,-0.9886
211,-1.002
212,-1.014
213,-1.024
214,-1.034
215,-1.043
216,-1.053
217,-1.062
218,-1.072
219,-1.081
220,-1.091
221,-1.101
222,-1.111
223,-1.12
224,-1.128
225,-1.136
226,-1.144
227,-1.153
228,-1.162
229,-1.169
230,-1.176
231,-1.184
232,-1.191
233,-1.197
234,-1.202
235,-1.206
236,-1.21
237,-1.214
238,-1.218
239,-1.222
240,-1.226
241,-1.231
242,-1.235
243,-1.239
244,-1.242
245,-1.246
246,-1.248
247,-1.25
248,-1.251
249,-1.252
250,-1.248
251,-1.25
252,-1.252
253,-1.254
254,-1.256
255,-1.257
256,-1.258
257,-1.259
258,-1.259
259,-1.259
260,-1.258
261,-1.258
262,-1.254
263,-1.254
264,-1.253
265,-1.252
266,-1.251
267,-1.247
268,-1.242
269,-1.24
270,-1.239
271,-1.233
272,-1.23
273,-1.224
274,-1.221
275,-1.219
276,-1.216
277,-1.212
278,-1.203
279,-1.19
280,-1.181
281,-1.172
282,-1.157
283,-1.15
284,-1.122
285,-1.116
286,-1.109
287,-1.099
288,-1.084
289,-1.076
290,-1.06
291,-1.043
292,-1.029
293,-1.022
294,-1.01
295,-1.003
296,-0.9901
297,-0.9798
298,-0.9637
299,-0.939
300,-0.9325
301,-0.9186
302,-0.8914
303,-0.8774
304,-0.841
305,-0.8272
306,-0.8047
307,-0.7809
308,-0.7652
309,-0.7546
310,-0.7451
311,-0.6806
312,-0.6568
313,-0.6215
314,-0.5787
