x,y
0,-0.801
1,-0.5568
2,-0.1185
3,0.4819
4,1.127
5,1.67
6,2.029
7,2.216
8,2.291
9,2.296
10,2.241
11,2.122
12,1.95
13,1.746
14,1.529
15,1.31
16,1.087
17,0.8573
18,0.6337
19,0.4322
20,0.2545
21,0.09355
22,-0.04221
23,-0.1472
24,-0.2348
25,-0.3093
26,-0.3788
27,-0.4418
28,-0.5018
29,-0.5596
30,-0.6084
31,-0.6532
32,-0.6869
33,-0.7097
34,-0.7275
35,-0.7399
36,-0.7538
37,-0.7623
38,-0.7756
39,-0.796
40,-0.8175
41,-0.84
42,-0.852
43,-0.8595
44,-0.8596
45,-0.8504
46,-0.8221
47,-0.7252
48,-0.5162
49,-0.1608
50,0.3273
51,0.8722
52,1.378
53,1.772
54,2.065
55,2.313
56,2.558
57,2.807
58,3.026
59,3.18
60,3.247
61,3.229
62,3.151
63,3.028
64,2.88
65,2.725
66,2.559
67,2.364
68,2.133
69,1.891
70,1.672
71,1.468
72,1.267
73,1.064
74,0.864
75,0.6766
76,0.4926
77,0.3234
78,0.1748
79,0.04616
80,-0.05401
81,-0.1354
82,-0.1995
83,-0.2505
84,-0.2888
85,-0.3124
86,-0.3342
87,-0.3509
88,-0.3661
89,-0.3886
90,-0.415
91,-0.4442
92,-0.4737
93,-0.5059
94,-0.5394
95,-0.57
96,-0.6008
97,-0.6306
98,-0.6631
99,-0.7017
100,-0.7399
101,-0.774
102,-0.7991
103,-0.8164
104,-0.824
105,-0.8253
106,-0.8292
107,-0.8314
108,-0.8343
109,-0.8386
110,-0.8402
111,-0.8363
112,-0.8189
113,-0.7737
114,-0.6686
115,-0.4808
116,-0.2197
117,0.07684
118,0.3484
119,0.5508
120,0.6781
121,0.7506
122,0.7879
123,0.7955
124,0.7776
125,0.7369
126,0.6734
127,0.5927
128,0.5073
129,0.4279
130,0.3547
131,0.2848
132,0.2202
133,0.1598
134,0.09644
135,0.03056
136,-0.03881
137,-0.1151
138,-0.2032
139,-0.3028
140,-0.4064
141,-0.509
142,-0.5963
143,-0.6666
144,-0.7293
145,-0.7854
146,-0.8338
147,-0.871
148,-0.8996
149,-0.9181
150,-0.9208
151,-0.9116
152,-0.8937
153,-0.8719
154,-0.8473
155,-0.8183
156,-0.7896
157,-0.7616
158,-0.7323
159,-0.6985
160,-0.664
161,-0.637
162,-0.6169
163,-0.6054
164,-0.6059
165,-0.6178
166,-0.6311
167,-0.6292
168,-0.6045
169,-0.5562
170,-0.4933
171,-0.4353
172,-0.3993
173,-0.3893
174,-0.3911
175,-0.3884
176,-0.3692
177,-0.3248
178,-0.2615
179,-0.1957
180,-0.1394
181,-0.09847
182,-0.07667
183,-0.07395
184,-0.08352
185,-0.1018
186,-0.1325
187,-0.1755
188,-0.2285
189,-0.2921
190,-0.3656
191,-0.4425
192,-0.5098
193,-0.5641
194,-0.6116
195,-0.6538
196,-0.6859
197,-0.7016
198,-0.705
199,-0.7053
200,-0.7047
201,-0.7059
202,-0.7052
203,-0.7045
204,-0.703
205,-0.7
206,-0.705
207,-0.718
208,-0.738
209,-0.7537
210,-0.7619
211,-0.7713
212,-0.7782
213,-0.7692
214,-0.7131
215,-0.5826
216,-0.3734
217,-0.102
218,0.1915
219,0.4691
220,0.7008
221,0.8671
222,0.9658
223,1.007
224,1.01
225,0.9913
226,0.9575
227,0.9172
228,0.8781
229,0.8472
230,0.8246
231,0.7955
232,0.7385
233,0.6436
234,0.5221
235,0.3931
236,0.2608
237,0.1231
238,-0.02094
239,-0.1641
240,-0.2897
241,-0.3943
242,-0.4747
243,-0.5337
244,-0.5762
245,-0.6053
246,-0.6282
247,-0.6403
248,-0.6444
249,-0.6494
250,-0.6554
251,-0.6616
252,-0.663
253,-0.6603
254,-0.6552
255,-0.6483
256,-0.6453
257,-0.6478
258,-0.6567
259,-0.671
260,-0.6875
261,-0.7028
262,-0.715
263,-0.7282
264,-0.7467
265,-0.7705
266,-0.8054
267,-0.8546
268,-0.9012
269,-0.922
