x,y
0,2.159
1,-1.214
2,-1.03
3,-0.8998
4,-0.7072
5,-0.3839
6,0.2196
7,0.9702
8,1.717
9,2.076
10,1.842
11,0.9219
12,-0.111
13,-0.8201
14,-0.4375
15,0.4561
16,0.2107
17,-0.3389
18,-1.219
19,-1.255
20,-1.085
21,-1.421
22,-1.705
23,-1.401
24,-0.05989
25,1.496
26,2.326
27,2.21
28,1.776
29,1.032
30,0.5219
31,-0.1383
32,-1.135
33,-1.977
34,-2.228
35,-1.406
36,0.01706
37,0.2386
38,-0.5589
39,-1.953
40,-2.439
41,-1.685
42,-0.5322
43,0.556
44,0.7712
45,1.09
46,1.123
47,1.127
48,1.16
49,1.071
50,0.8874
51,0.6544
52,0.3508
53,0.3876
54,0.3601
55,0.09109
56,-0.2912
57,-0.4266
58,-0.1936
59,0.1192
60,0.1407
61,-0.1097
62,-0.312
63,-0.3169
64,-0.194
65,-0.1716
66,0.003443
67,0.09434
68,0.2803
69,0.391
70,0.2255
71,0.02034
72,-0.2454
73,-0.3342
74,-0.3342
75,-0.3342
76,-0.3342
77,-0.3342
78,-0.3342
79,-0.3342
80,-0.3342
81,-0.2703
82,0.3212
83,0.9279
84,1.412
85,1.384
86,0.6297
87,0.1108
88,-0.6361
89,-1.123
90,-1.177
91,-1.108
92,-0.5232
93,-0.2693
94,0.4396
95,1.356
96,2.513
97,2.886
98,2.313
99,0.6144
100,-0.5152
101,-1.721
102,-1.819
103,-1.294
104,-0.5393
105,0.1368
106,0.2749
107,0.1532
108,-0.05539
109,-0.02479
110,-0.1071
111,-0.2261
112,-0.1604
113,-0.2727
114,-0.1917
115,-0.3465
116,-0.2235
117,-0.1063
118,-0.2869
119,-0.3555
120,-0.4535
121,-0.4395
122,-0.1211
123,0.01555
124,-0.04085
125,-0.2074
126,-0.4148
127,-0.2083
128,0.2305
129,0.7612
130,0.7357
