x,y
0,-0.155
1,-0.155
2,-0.155
3,-0.155
4,-0.155
5,-0.155
6,-0.155
7,-0.155
8,-0.155
9,-0.155
10,-0.1461
11,-0.09882
12,-0.07032
13,-0.05708
14,-0.05597
15,-0.05597
16,-0.05597
17,-0.05597
18,-0.05558
19,-0.01773
20,0.02792
21,0.08658
22,0.1201
23,0.1454
24,0.1776
25,0.208
26,0.2364
27,0.2648
28,0.2992
29,0.3578
30,0.4026
31,0.4367
32,0.4602
33,0.4874
34,0.5252
35,0.5258
36,0.5064
37,0.4648
38,0.4392
39,0.4392
40,0.4293
41,0.4134
42,0.3775
43,0.3914
44,0.4595
45,0.5627
46,0.663
47,0.7274
48,0.8177
49,0.9275
50,0.9343
51,0.9343
52,0.9343
53,0.9343
54,0.9308
55,0.8173
56,0.7239
57,0.6615
58,0.6422
59,0.6372
60,0.6372
61,0.6132
62,0.564
63,0.5471
64,0.5283
65,0.4829
66,0.4297
67,0.3711
68,0.3124
69,0.2537
70,0.1951
71,0.1364
72,0.07626
73,-0.01836
74,-0.1084
75,-0.1916
76,-0.2559
77,-0.3064
78,-0.3045
79,-0.2884
80,-0.2581
81,-0.2769
82,-0.3108
83,-0.3695
84,-0.4147
85,-0.4506
86,-0.4721
87,-0.4929
88,-0.5137
89,-0.4916
90,-0.4513
91,-0.4362
92,-0.4084
93,-0.363
94,-0.3531
95,-0.3531
96,-0.3531
97,-0.3569
98,-0.3645
99,-0.4168
100,-0.4754
101,-0.5341
102,-0.5939
103,-0.6545
104,-0.77
105,-0.8678
106,-0.9264
107,-1.025
108,-1.137
109,-1.199
110,-1.26
111,-1.319
112,-1.418
113,-1.529
114,-1.646
115,-1.714
116,-1.737
117,-1.78
118,-1.818
119,-1.833
120,-1.839
121,-1.839
122,-1.8
123,-1.766
124,-1.746
125,-1.714
126,-1.679
127,-1.654
128,-1.641
129,-1.641
130,-1.641
131,-1.641
132,-1.641
133,-1.626
134,-1.6
135,-1.523
136,-1.425
137,-1.284
138,-1.109
139,-0.9122
140,-0.6779
141,-0.4493
142,-0.2317
143,-0.01134
144,0.2165
145,0.5155
146,0.728
147,0.834
148,0.9092
149,0.9847
150,1.095
151,1.177
152,1.235
153,1.294
154,1.353
155,1.411
156,1.47
157,1.528
158,1.528
159,1.528
160,1.528
161,1.488
162,1.433
163,1.375
164,1.316
165,1.257
166,1.199
167,1.14
168,1.081
169,0.9976
170,0.8935
171,0.8172
172,0.7593
173,0.7423
174,0.7106
175,0.6707
176,0.612
177,0.5534
178,0.4947
179,0.436
180,0.3774
181,0.3187
182,0.2601
183,0.2014
184,0.1664
185,0.1421
186,0.1421
187,0.1283
188,0.1037
189,0.06853
190,0.04306
191,0.04306
192,0.04306
193,0.0427
194,0.02567
195,-0.007402
196,-0.06606
197,-0.1148
198,-0.1563
199,-0.1677
200,-0.1926
201,-0.2324
202,-0.1955
203,-0.1526
204,-0.1413
205,-0.07139
206,0.04215
207,0.1042
208,0.1629
209,0.2216
210,0.2411
211,0.2394
212,0.1826
213,0.1033
214,-0.0102
215,-0.1266
216,-0.2376
217,-0.3038
218,-0.3663
219,-0.425
220,-0.4432
221,-0.4422
222,-0.3967
223,-0.3436
224,-0.2849
225,-0.2263
226,-0.1552
227,-0.0568
228,0.05441
229,0.1717
230,0.2891
231,0.4064
232,0.5237
233,0.5914
234,0.6372
235,0.6372
236,0.6514
237,0.6798
238,0.7344
239,0.7874
240,0.8215
241,0.8353
242,0.8353
243,0.8353
244,0.8414
245,0.8603
246,0.9183
247,0.9954
248,1.098
249,1.182
250,1.24
251,1.29
252,1.332
253,1.341
254,1.376
255,1.435
256,1.493
257,1.552
258,1.611
259,1.669
260,1.728
261,1.786
262,1.826
263,1.826
264,1.826
265,1.826
266,1.826
267,1.803
268,1.75
269,1.692
270,1.634
271,1.575
272,1.492
273,1.386
274,1.31
275,1.22
276,1.074
277,0.8842
278,0.6665
279,0.3933
280,0.09944
281,-0.2317
282,-0.5522
283,-0.8665
284,-1.16
285,-1.439
286,-1.7
287,-1.867
288,-1.992
289,-2.022
290,-2.022
291,-1.996
292,-1.919
293,-1.833
294,-1.738
295,-1.666
296,-1.607
297,-1.567
298,-1.541
299,-1.541
300,-1.541
301,-1.541
302,-1.541
303,-1.546
304,-1.558
305,-1.6
306,-1.639
307,-1.632
308,-1.596
309,-1.538
310,-1.476
311,-1.399
312,-1.283
313,-1.204
314,-1.145
