x,y
0,-1.265
1,-1.243
2,-1.245
3,-1.254
4,-1.258
5,-1.262
6,-1.276
7,-1.295
8,-1.315
9,-1.328
10,-1.341
11,-1.353
12,-1.361
13,-1.365
14,-1.367
15,-1.37
16,-1.372
17,-1.369
18,-1.358
19,-1.338
20,-1.305
21,-1.246
22,-1.146
23,-0.9895
24,-0.782
25,-0.5427
26,-0.3041
27,-0.0967
28,0.06407
29,0.1779
30,0.2577
31,0.3142
32,0.3559
33,0.3849
34,0.4015
35,0.4055
36,0.3939
37,0.3656
38,0.3197
39,0.2623
40,0.1964
41,0.1229
42,0.03862
43,-0.06086
44,-0.1701
45,-0.2846
46,-0.3911
47,-0.4852
48,-0.5622
49,-0.6241
50,-0.675
51,-0.7161
52,-0.7513
53,-0.7755
54,-0.792
55,-0.7953
56,-0.7871
57,-0.7623
58,-0.7139
59,-0.6335
60,-0.5127
61,-0.3587
62,-0.1798
63,0.003538
64,0.1789
65,0.334
66,0.4606
67,0.5531
68,0.6062
69,0.6239
70,0.6074
71,0.5619
72,0.4888
73,0.3915
74,0.2746
75,0.1416
76,-0.001982
77,-0.151
78,-0.295
79,-0.4253
80,-0.5358
81,-0.6273
82,-0.7046
83,-0.7711
84,-0.8295
85,-0.8779
86,-0.9183
87,-0.9506
88,-0.9784
89,-1.002
90,-1.021
91,-1.038
92,-1.05
93,-1.064
94,-1.076
95,-1.09
96,-1.105
97,-1.124
98,-1.149
99,-1.174
100,-1.2
101,-1.222
102,-1.242
103,-1.261
104,-1.276
105,-1.293
106,-1.304
107,-1.317
108,-1.328
109,-1.337
110,-1.345
111,-1.347
112,-1.346
113,-1.337
114,-1.328
115,-1.314
116,-1.296
117,-1.271
118,-1.225
119,-1.147
120,-1.014
121,-0.8193
122,-0.5628
123,-0.2628
124,0.05625
125,0.3757
126,0.6828
127,0.9787
128,1.255
129,1.503
130,1.704
131,1.845
132,1.927
133,1.956
134,1.948
135,1.915
136,1.869
137,1.81
138,1.736
139,1.645
140,1.533
141,1.412
142,1.285
143,1.164
144,1.051
145,0.9533
146,0.8686
147,0.7927
148,0.7245
149,0.6651
150,0.6253
151,0.6006
152,0.5945
153,0.5982
154,0.6228
155,0.6813
156,0.7874
157,0.9453
158,1.134
159,1.333
160,1.5
161,1.607
162,1.635
163,1.591
164,1.499
165,1.382
166,1.261
167,1.135
168,1.011
169,0.8859
170,0.7604
171,0.6351
172,0.5107
173,0.396
174,0.2897
175,0.1947
176,0.1016
177,0.008677
178,-0.08325
179,-0.1692
180,-0.241
181,-0.3029
182,-0.3527
183,-0.4002
184,-0.4422
185,-0.4798
186,-0.51
187,-0.5281
188,-0.5431
189,-0.5486
190,-0.5551
191,-0.5583
192,-0.5598
193,-0.5606
194,-0.5551
195,-0.5519
196,-0.544
197,-0.5406
198,-0.5368
199,-0.5338
200,-0.5314
201,-0.5259
202,-0.5204
203,-0.5049
204,-0.4755
205,-0.4163
206,-0.3169
207,-0.166
208,0.04744
209,0.327
210,0.669
211,1.042
212,1.401
213,1.69
214,1.873
215,1.946
216,1.934
217,1.877
218,1.797
219,1.704
220,1.587
221,1.442
222,1.27
223,1.082
224,0.896
225,0.7159
226,0.5512
227,0.3944
228,0.2479
229,0.1126
230,-0.008478
231,-0.1071
232,-0.1868
233,-0.2438
234,-0.2877
235,-0.3142
236,-0.3275
237,-0.3215
238,-0.2898
239,-0.218
240,-0.07902
241,0.1415
242,0.454
243,0.824
244,1.2
245,1.518
246,1.737
247,1.853
248,1.885
249,1.868
250,1.819
251,1.746
252,1.643
253,1.504
254,1.33
255,1.127
256,0.9097
257,0.6871
258,0.4682
259,0.2567
260,0.05857
261,-0.13
262,-0.3216
263,-0.519
264,-0.7027
265,-0.8384
266,-0.9265
267,-1.006
268,-1.123
269,-1.265
