x,y
0,0.03041
1,0.03924
2,0.04145
3,0.05275
4,0.07228
5,0.08995
6,0.112
7,0.1352
8,0.1434
9,0.1439
10,0.1598
11,0.1726
12,0.1601
13,0.146
14,0.1548
15,0.1726
16,0.1694
17,0.152
18,0.1386
19,0.1496
20,0.1755
21,0.1822
22,0.193
23,0.2043
24,0.1911
25,0.1713
26,0.1761
27,0.1865
28,0.1788
29,0.1886
30,0.198
31,0.1931
32,0.192
33,0.1784
34,0.1635
35,0.1562
36,0.159
37,0.1698
38,0.1598
39,0.1394
40,0.1297
41,0.1159
42,0.1038
43,0.1238
44,0.149
45,0.1384
46,0.1292
47,0.1407
48,0.1373
49,0.1296
50,0.1374
51,0.1406
52,0.153
53,0.1699
54,0.1588
55,0.1533
56,0.1685
57,0.1741
58,0.1738
59,0.1827
60,0.189
61,0.1964
62,0.2139
63,0.2302
64,0.2306
65,0.2268
66,0.2402
67,0.246
68,0.2473
69,0.2539
70,0.2443
71,0.2495
72,0.2691
73,0.274
74,0.2722
75,0.2792
76,0.3206
77,0.3477
78,0.33
79,0.3218
80,0.3342
81,0.3308
82,0.3094
83,0.3012
84,0.2967
85,0.297
86,0.2989
87,0.2907
88,0.2949
89,0.3089
90,0.3114
91,0.3048
92,0.305
93,0.3119
94,0.3225
95,0.3341
96,0.3351
97,0.3327
98,0.3387
99,0.3503
100,0.3476
101,0.3428
102,0.353
103,0.3417
104,0.3264
105,0.3296
106,0.3329
107,0.3545
108,0.3774
109,0.379
110,0.3669
111,0.3579
112,0.3832
113,0.4185
114,0.4277
115,0.423
116,0.4344
117,0.4509
118,0.4469
119,0.4425
120,0.4408
121,0.4396
122,0.4521
123,0.4744
124,0.4924
125,0.4988
126,0.5007
127,0.5116
128,0.5392
129,0.5473
130,0.5277
131,0.5281
132,0.5474
133,0.5609
134,0.5765
135,0.6041
136,0.6136
137,0.5901
138,0.5804
139,0.6033
140,0.6203
141,0.6304
142,0.6364
143,0.6304
144,0.6357
145,0.6318
146,0.6095
147,0.5878
148,0.5664
149,0.5665
150,0.5746
151,0.5585
152,0.5535
153,0.5686
154,0.5741
155,0.5823
156,0.5785
157,0.5663
158,0.5673
159,0.5509
160,0.5466
161,0.5719
162,0.58
163,0.5582
164,0.5294
165,0.5321
166,0.549
167,0.5632
168,0.5806
169,0.5854
170,0.5839
171,0.5843
172,0.5766
173,0.5637
174,0.5743
175,0.6046
176,0.6246
177,0.6358
178,0.6322
179,0.6255
180,0.6354
181,0.6396
182,0.6443
183,0.6562
184,0.6679
185,0.6778
186,0.6872
187,0.6983
188,0.7073
189,0.7164
190,0.7278
191,0.7404
192,0.7483
193,0.7588
194,0.7642
195,0.7587
196,0.7615
197,0.774
198,0.7867
199,0.7781
200,0.7723
201,0.7965
202,0.7958
203,0.7906
204,0.8262
205,0.8258
206,0.8008
207,0.8303
208,0.856
209,0.8332
210,0.8171
211,0.835
212,0.849
213,0.844
214,0.8307
215,0.8139
216,0.8075
217,0.8024
218,0.7966
219,0.7906
220,0.7855
221,0.795
222,0.7974
223,0.7848
224,0.7962
225,0.8259
226,0.8218
227,0.7931
228,0.7995
229,0.8199
230,0.8063
231,0.7987
232,0.806
233,0.8063
234,0.8187
235,0.8279
236,0.8163
237,0.809
238,0.8134
239,0.8097
240,0.8054
241,0.8176
242,0.84
243,0.8656
244,0.8727
245,0.8676
246,0.8782
247,0.879
248,0.8785
249,0.8948
250,0.9114
251,0.9274
252,0.9355
253,0.9484
254,0.9615
255,0.9546
256,0.9357
257,0.9352
258,0.9718
259,1.004
260,0.991
261,0.9617
262,0.9662
263,1.001
264,1.027
265,1.023
266,1.011
267,1.026
268,1.048
269,1.046
