x,y
0,-0.5983
1,-0.5294
2,-0.4585
3,-0.3856
4,-0.3125
5,-0.243
6,-0.1838
7,-0.1364
8,-0.09691
9,-0.06126
10,-0.02527
11,0.01088
12,0.04667
13,0.08261
14,0.1166
15,0.148
16,0.1747
17,0.1951
18,0.2106
19,0.219
20,0.2213
21,0.2172
22,0.2063
23,0.1927
24,0.1761
25,0.1577
26,0.1378
27,0.1145
28,0.09159
29,0.07016
30,0.05274
31,0.04092
32,0.03127
33,0.02463
34,0.01954
35,0.01737
36,0.02148
37,0.03055
38,0.04691
39,0.06905
40,0.09688
41,0.1327
42,0.1757
43,0.228
44,0.2883
45,0.3548
46,0.4257
47,0.4933
48,0.5511
49,0.592
50,0.6125
51,0.6169
52,0.6091
53,0.5937
54,0.5712
55,0.5386
56,0.4968
57,0.4459
58,0.389
59,0.3292
60,0.2663
61,0.2019
62,0.1353
63,0.06638
64,-0.002672
65,-0.07215
66,-0.1391
67,-0.2016
68,-0.2607
69,-0.3115
70,-0.3557
71,-0.3932
72,-0.4212
73,-0.4469
74,-0.4651
75,-0.4782
76,-0.4898
77,-0.4956
78,-0.5031
79,-0.5081
80,-0.5092
81,-0.5113
82,-0.5075
83,-0.5033
84,-0.4973
85,-0.4851
86,-0.4705
87,-0.4403
88,-0.3891
89,-0.3081
90,-0.1804
91,-0.003995
92,0.2313
93,0.5183
94,0.8345
95,1.16
96,1.465
97,1.738
98,1.975
99,2.171
100,2.333
101,2.463
102,2.568
103,2.656
104,2.729
105,2.793
106,2.849
107,2.899
108,2.951
109,3.007
110,3.066
111,3.121
112,3.164
113,3.185
114,3.18
115,3.147
116,3.084
117,2.988
118,2.857
119,2.688
120,2.482
121,2.247
122,1.99
123,1.726
124,1.461
125,1.208
126,0.9713
127,0.753
128,0.5628
129,0.3972
130,0.2572
131,0.1412
132,0.04041
133,-0.04144
134,-0.1102
135,-0.1681
136,-0.2142
137,-0.2572
138,-0.2932
139,-0.3251
140,-0.3554
141,-0.3782
142,-0.3991
143,-0.4136
144,-0.422
145,-0.4304
146,-0.4333
147,-0.4366
148,-0.4383
149,-0.436
150,-0.4334
151,-0.4273
152,-0.4218
153,-0.4184
154,-0.4159
155,-0.4168
156,-0.4204
157,-0.4289
158,-0.4433
159,-0.4613
160,-0.4818
161,-0.502
162,-0.5211
163,-0.5398
164,-0.5573
165,-0.574
166,-0.5894
167,-0.6032
168,-0.6161
169,-0.6277
170,-0.6384
171,-0.6482
172,-0.6569
173,-0.6653
174,-0.6734
175,-0.6815
176,-0.6894
177,-0.6959
178,-0.701
179,-0.7043
180,-0.7062
181,-0.7078
182,-0.7086
183,-0.7094
184,-0.7102
185,-0.7112
186,-0.7128
187,-0.7143
188,-0.7153
189,-0.7157
190,-0.7157
191,-0.7161
192,-0.7166
193,-0.717
194,-0.7172
195,-0.717
196,-0.717
197,-0.7172
198,-0.7174
199,-0.7174
200,-0.717
201,-0.7162
202,-0.7154
203,-0.7147
204,-0.7145
205,-0.715
206,-0.7161
207,-0.7176
208,-0.7187
209,-0.7196
210,-0.7205
211,-0.7215
212,-0.723
213,-0.7243
214,-0.7246
215,-0.7236
216,-0.7213
217,-0.7186
218,-0.716
219,-0.7136
220,-0.7112
221,-0.708
222,-0.704
223,-0.6996
224,-0.695
225,-0.6902
226,-0.6845
227,-0.6782
228,-0.6717
229,-0.6656
230,-0.6605
231,-0.6555
232,-0.6504
233,-0.6454
234,-0.6409
235,-0.6377
236,-0.6347
237,-0.6307
238,-0.6253
239,-0.6188
240,-0.6123
241,-0.6063
242,-0.6001
243,-0.5929
244,-0.584
245,-0.574
246,-0.5641
247,-0.5554
248,-0.5481
249,-0.5415
250,-0.5348
251,-0.5278
252,-0.5207
253,-0.5129
254,-0.5032
255,-0.4919
256,-0.4814
257,-0.4753
258,-0.476
259,-0.4837
260,-0.4981
261,-0.5197
262,-0.5483
263,-0.5805
264,-0.6094
265,-0.6303
266,-0.6448
267,-0.66
268,-0.6814
269,-0.7059
