x,y
0,-1.569
1,-1.513
2,-1.403
3,-1.233
4,-1.007
5,-0.7333
6,-0.4226
7,-0.09595
8,0.2303
9,0.5401
10,0.8185
11,1.062
12,1.273
13,1.449
14,1.597
15,1.717
16,1.808
17,1.875
18,1.921
19,1.947
20,1.958
21,1.956
22,1.94
23,1.913
24,1.875
25,1.82
26,1.749
27,1.66
28,1.551
29,1.427
30,1.296
31,1.159
32,1.028
33,0.9053
34,0.792
35,0.6916
36,0.6032
37,0.5242
38,0.4573
39,0.4002
40,0.3533
41,0.3221
42,0.3068
43,0.3112
44,0.341
45,0.3914
46,0.4588
47,0.5382
48,0.6161
49,0.6866
50,0.7481
51,0.7955
52,0.8343
53,0.8705
54,0.9031
55,0.937
56,0.9741
57,1.009
58,1.042
59,1.071
60,1.088
61,1.091
62,1.076
63,1.039
64,0.986
65,0.9211
66,0.8468
67,0.7695
68,0.6909
69,0.608
70,0.5227
71,0.4348
72,0.3418
73,0.2472
74,0.1519
75,0.05455
76,-0.03985
77,-0.13
78,-0.2181
79,-0.3009
80,-0.3795
81,-0.457
82,-0.5282
83,-0.5915
84,-0.6494
85,-0.6971
86,-0.7367
87,-0.774
88,-0.8059
89,-0.8344
90,-0.8652
91,-0.8936
92,-0.9218
93,-0.9547
94,-0.9858
95,-1.014
96,-1.042
97,-1.061
98,-1.071
99,-1.077
100,-1.076
101,-1.069
102,-1.064
103,-1.054
104,-1.039
105,-1.025
106,-1.004
107,-0.9795
108,-0.9563
109,-0.9314
110,-0.9061
111,-0.8844
112,-0.8605
113,-0.8333
114,-0.8045
115,-0.769
116,-0.7259
117,-0.6774
118,-0.6195
119,-0.5525
120,-0.4795
121,-0.3987
122,-0.3116
123,-0.2204
124,-0.1217
125,-0.01435
126,0.1014
127,0.228
128,0.3623
129,0.4985
130,0.6321
131,0.7557
132,0.8628
133,0.9515
134,1.02
135,1.069
136,1.103
137,1.121
138,1.126
139,1.119
140,1.099
141,1.067
142,1.025
143,0.9739
144,0.9161
145,0.854
146,0.7868
147,0.7143
148,0.6361
149,0.5517
150,0.4646
151,0.3785
152,0.2944
153,0.2141
154,0.1357
155,0.053
156,-0.03478
157,-0.127
158,-0.2261
159,-0.3257
160,-0.4205
161,-0.5129
162,-0.5975
163,-0.6714
164,-0.741
165,-0.8018
166,-0.853
167,-0.903
168,-0.9488
169,-0.9906
170,-1.037
171,-1.081
172,-1.119
173,-1.158
174,-1.188
175,-1.21
176,-1.228
177,-1.236
178,-1.229
179,-1.21
180,-1.161
181,-1.071
182,-0.934
183,-0.7391
184,-0.4877
185,-0.1973
186,0.1154
187,0.4254
188,0.7063
189,0.9469
190,1.141
191,1.285
192,1.39
193,1.462
194,1.506
195,1.533
196,1.548
197,1.555
198,1.556
199,1.55
200,1.534
201,1.507
202,1.468
203,1.415
204,1.353
205,1.283
206,1.21
207,1.139
208,1.068
209,0.9949
210,0.9159
211,0.8249
212,0.718
213,0.5958
214,0.4604
215,0.3175
216,0.1742
217,0.0344
218,-0.09723
219,-0.2165
220,-0.3247
221,-0.4199
222,-0.5006
223,-0.5721
224,-0.6352
225,-0.6906
226,-0.7434
227,-0.7914
228,-0.8318
229,-0.8679
230,-0.8982
231,-0.9238
232,-0.9511
233,-0.9787
234,-1.005
235,-1.033
236,-1.058
237,-1.079
238,-1.098
239,-1.113
240,-1.123
241,-1.132
242,-1.136
243,-1.135
244,-1.133
245,-1.127
246,-1.116
247,-1.102
248,-1.085
249,-1.063
250,-1.042
251,-1.023
252,-1.007
253,-0.9959
254,-0.9893
255,-0.9882
256,-0.9964
257,-1.016
258,-1.051
259,-1.099
260,-1.157
261,-1.218
262,-1.282
263,-1.347
264,-1.414
265,-1.48
266,-1.534
267,-1.569
268,-1.582
269,-1.578
