x,y
0,-1.056
1,-0.9957
2,-0.932
3,-0.895
4,-0.8752
5,-0.8599
6,-0.8486
7,-0.8341
8,-0.814
9,-0.7962
10,-0.78
11,-0.7676
12,-0.7667
13,-0.7733
14,-0.7812
15,-0.7827
16,-0.7601
17,-0.6917
18,-0.5454
19,-0.2829
20,0.09417
21,0.5038
22,0.8315
23,1.032
24,1.136
25,1.165
26,1.11
27,0.9797
28,0.8157
29,0.6543
30,0.504
31,0.339
32,0.1472
33,-0.03318
34,-0.167
35,-0.2555
36,-0.3002
37,-0.3075
38,-0.2814
39,-0.2014
40,-0.07823
41,0.05277
42,0.1721
43,0.265
44,0.345
45,0.4647
46,0.6934
47,1.075
48,1.578
49,2.134
50,2.7
51,3.229
52,3.644
53,3.898
54,4.015
55,4.05
56,4.016
57,3.881
58,3.626
59,3.284
60,2.889
61,2.444
62,1.961
63,1.474
64,1.023
65,0.6349
66,0.3008
67,-0.003727
68,-0.2726
69,-0.4915
70,-0.6547
71,-0.7689
72,-0.8569
73,-0.9242
74,-0.9723
75,-1.013
76,-1.042
77,-1.061
78,-1.074
79,-1.078
80,-1.08
81,-1.08
82,-1.071
83,-1.064
84,-1.06
85,-1.051
86,-1.027
87,-0.9661
88,-0.8316
89,-0.5915
90,-0.2464
91,0.1563
92,0.5458
93,0.8547
94,1.038
95,1.108
96,1.113
97,1.086
98,1.033
99,0.9624
100,0.8818
101,0.8031
102,0.7385
103,0.6904
104,0.6555
105,0.6484
106,0.7028
107,0.8306
108,0.9928
109,1.109
110,1.118
111,1.017
112,0.8549
113,0.688
114,0.5318
115,0.3737
116,0.2109
117,0.05062
118,-0.09429
119,-0.2116
120,-0.3038
121,-0.3744
122,-0.4199
123,-0.4482
124,-0.4703
125,-0.4872
126,-0.5041
127,-0.5231
128,-0.5395
129,-0.5472
130,-0.5469
131,-0.5477
132,-0.5446
133,-0.5259
134,-0.4874
135,-0.4228
136,-0.3345
137,-0.2375
138,-0.1359
139,-0.02212
140,0.1047
141,0.234
142,0.3487
143,0.4327
144,0.4743
145,0.4638
146,0.4033
147,0.3128
148,0.2108
149,0.103
150,-0.0117
151,-0.1334
152,-0.2554
153,-0.363
154,-0.4484
155,-0.516
156,-0.5733
157,-0.6229
158,-0.6614
159,-0.689
160,-0.7151
161,-0.7423
162,-0.7706
163,-0.8014
164,-0.8213
165,-0.8247
166,-0.8139
167,-0.789
168,-0.7628
169,-0.7447
170,-0.727
171,-0.7037
172,-0.6676
173,-0.6031
174,-0.503
175,-0.3683
176,-0.1997
177,-0.01243
178,0.1532
179,0.2635
180,0.3263
181,0.3721
182,0.4143
183,0.4463
184,0.456
185,0.4304
186,0.3705
187,0.2925
188,0.202
189,0.09586
190,-0.01614
191,-0.1197
192,-0.212
193,-0.2929
194,-0.3554
195,-0.3933
196,-0.4133
197,-0.4297
198,-0.4398
199,-0.4352
200,-0.4212
201,-0.4045
202,-0.3844
203,-0.357
204,-0.3258
205,-0.3003
206,-0.2808
207,-0.2637
208,-0.2492
209,-0.2345
210,-0.2189
211,-0.2052
212,-0.1948
213,-0.1972
214,-0.2206
215,-0.2565
216,-0.2956
217,-0.3359
218,-0.3709
219,-0.3966
220,-0.4155
221,-0.4302
222,-0.4493
223,-0.4755
224,-0.4972
225,-0.5153
226,-0.5462
227,-0.5913
228,-0.6413
229,-0.6954
230,-0.7501
231,-0.7926
232,-0.816
233,-0.8319
234,-0.852
235,-0.8682
236,-0.88
237,-0.903
238,-0.9407
239,-0.9792
240,-1.01
241,-1.034
242,-1.048
243,-1.03
244,-0.9628
245,-0.8308
246,-0.6244
247,-0.3902
248,-0.2144
249,-0.1345
250,-0.1163
251,-0.0981
252,-0.01885
253,0.1699
254,0.4571
255,0.749
256,0.9416
257,0.9935
258,0.9164
259,0.7456
260,0.5337
261,0.3283
262,0.138
263,-0.05443
264,-0.2547
265,-0.4619
266,-0.6566
267,-0.7975
268,-0.8959
269,-0.9993
