x,y
0,-1.161
1,-1.146
2,-1.131
3,-1.123
4,-1.118
5,-1.116
6,-1.119
7,-1.123
8,-1.126
9,-1.128
10,-1.124
11,-1.118
12,-1.117
13,-1.115
14,-1.099
15,-1.069
16,-1.026
17,-0.9686
18,-0.9196
19,-0.8949
20,-0.8808
21,-0.8718
22,-0.8744
23,-0.8782
24,-0.8694
25,-0.8483
26,-0.8159
27,-0.7744
28,-0.7387
29,-0.7191
30,-0.7102
31,-0.7212
32,-0.7561
33,-0.7906
34,-0.7987
35,-0.7628
36,-0.674
37,-0.5519
38,-0.4188
39,-0.2574
40,-0.00401
41,0.4516
42,1.179
43,2.046
44,2.752
45,3.103
46,3.157
47,3.079
48,2.951
49,2.766
50,2.528
51,2.259
52,1.96
53,1.624
54,1.275
55,0.9351
56,0.621
57,0.3509
58,0.1259
59,-0.07118
60,-0.2472
61,-0.3981
62,-0.525
63,-0.6137
64,-0.6526
65,-0.66
66,-0.6581
67,-0.6508
68,-0.6367
69,-0.6124
70,-0.5856
71,-0.562
72,-0.5266
73,-0.4754
74,-0.4238
75,-0.362
76,-0.2626
77,-0.1061
78,0.1694
79,0.6435
80,1.253
81,1.772
82,2.035
83,2.087
84,2.061
85,2.016
86,1.94
87,1.818
88,1.658
89,1.479
90,1.281
91,1.044
92,0.7638
93,0.4737
94,0.2139
95,0.002097
96,-0.176
97,-0.3324
98,-0.4462
99,-0.5071
100,-0.5244
101,-0.4948
102,-0.4261
103,-0.3493
104,-0.2726
105,-0.187
106,-0.09363
107,0.01146
108,0.1262
109,0.2287
110,0.3087
111,0.3733
112,0.4234
113,0.4579
114,0.478
115,0.4736
116,0.4301
117,0.3539
118,0.2656
119,0.1755
120,0.08924
121,0.01462
122,-0.05187
123,-0.1207
124,-0.1955
125,-0.2752
126,-0.3577
127,-0.4355
128,-0.503
129,-0.5652
130,-0.6252
131,-0.671
132,-0.6999
133,-0.7242
134,-0.7471
135,-0.7745
136,-0.8128
137,-0.8494
138,-0.8766
139,-0.897
140,-0.9074
141,-0.8975
142,-0.8303
143,-0.636
144,-0.2773
145,0.1855
146,0.6427
147,1.045
148,1.406
149,1.708
150,1.899
151,1.965
152,1.942
153,1.869
154,1.757
155,1.616
156,1.462
157,1.306
158,1.152
159,1
160,0.8607
161,0.7469
162,0.6597
163,0.5864
164,0.4986
165,0.3648
166,0.1838
167,-0.01142
168,-0.193
169,-0.3572
170,-0.4969
171,-0.5962
172,-0.656
173,-0.6862
174,-0.6904
175,-0.6798
176,-0.6702
177,-0.6651
178,-0.6673
179,-0.6808
180,-0.6963
181,-0.7075
182,-0.7238
183,-0.7479
184,-0.7716
185,-0.7923
186,-0.8097
187,-0.8141
188,-0.7988
189,-0.773
190,-0.7417
191,-0.7038
192,-0.6661
193,-0.6357
194,-0.6106
195,-0.5783
196,-0.5298
197,-0.4702
198,-0.4099
199,-0.3585
200,-0.3203
201,-0.2926
202,-0.2684
203,-0.2231
204,-0.1135
205,0.09911
206,0.4315
207,0.854
208,1.277
209,1.605
210,1.799
211,1.87
212,1.857
213,1.806
214,1.748
215,1.661
216,1.512
217,1.306
218,1.076
219,0.8456
220,0.621
221,0.4101
222,0.216
223,0.03879
224,-0.1121
225,-0.2332
226,-0.3345
227,-0.4353
228,-0.5409
229,-0.6316
230,-0.684
231,-0.6807
232,-0.6142
233,-0.5024
234,-0.3787
235,-0.2479
236,-0.08688
237,0.09288
238,0.2385
239,0.3197
240,0.3403
241,0.3123
242,0.2587
243,0.1928
244,0.1047
245,-0.001264
246,-0.1058
247,-0.204
248,-0.2941
249,-0.3685
250,-0.4291
251,-0.4858
252,-0.5456
253,-0.604
254,-0.6506
255,-0.6921
256,-0.7437
257,-0.8014
258,-0.8547
259,-0.9001
260,-0.931
261,-0.9443
262,-0.9473
263,-0.9473
264,-0.951
265,-0.9718
266,-1.016
267,-1.069
268,-1.111
269,-1.142
