x,y
0,1.687
1,2.006
2,2.065
3,1.857
4,1.404
5,0.834
6,0.1412
7,-0.3138
8,-0.6643
9,-0.9042
10,-1.262
11,-1.685
12,-2.179
13,-2.442
14,-2.55
15,-2.48
16,-2.01
17,-1.252
18,-0.1568
19,0.9261
20,1.896
21,2.714
22,2.996
23,2.972
24,2.58
25,1.905
26,1.101
27,0.1447
28,-0.6925
29,-1.369
30,-1.816
31,-1.945
32,-1.832
33,-1.392
34,-0.8122
35,-0.2942
36,0.08196
37,0.1746
38,0.1375
39,-0.05234
40,-0.2027
41,-0.3445
42,-0.4834
43,-0.5057
44,-0.5209
45,-0.5663
46,-0.6498
47,-0.697
48,-0.6511
49,-0.4967
50,-0.2818
51,0.01348
52,0.3695
53,0.6847
54,0.8694
55,0.9137
56,0.9011
57,0.8382
58,0.6938
59,0.5476
60,0.4567
61,0.3792
62,0.3073
63,0.2401
64,0.1998
65,0.1629
66,0.1103
67,0.07945
68,0.03277
69,-0.08688
70,-0.2112
71,-0.3282
72,-0.4154
73,-0.4713
74,-0.4856
75,-0.3934
76,-0.3002
77,-0.2064
78,-0.1119
79,-0.04898
80,0.0006326
81,0.05073
82,0.1307
83,0.2229
84,0.3092
85,0.3606
86,0.3932
87,0.4147
88,0.4227
89,0.4305
90,0.4731
91,0.5671
92,0.6774
93,0.7271
94,0.738
95,0.712
96,0.5899
97,0.4088
98,0.1981
99,0.02063
100,-0.1569
101,-0.3126
102,-0.3011
103,-0.2452
104,-0.1603
105,-0.07046
106,0.04439
107,0.1619
108,0.1394
109,0.1414
110,0.1603
111,0.1757
112,0.1885
113,0.2021
114,0.2536
115,0.2506
116,0.2051
117,0.1559
118,0.1297
119,0.1159
120,-0.02603
121,-0.1418
122,-0.2384
123,-0.4201
124,-0.6498
125,-0.9183
126,-1.012
127,-1.081
128,-1.128
129,-1.085
130,-1.085
