x,y
0,-0.7933
1,-0.5463
2,-0.004182
3,0.7812
4,1.612
5,2.395
6,2.61
7,2.004
8,0.8926
9,-0.2516
10,-1.006
11,-0.9047
12,-0.2264
13,-0.08929
14,-0.3204
15,-0.9084
16,-1.674
17,-1.716
18,-1.634
19,-1.819
20,-1.861
21,-1.512
22,-0.7596
23,0.546
24,2.026
25,3.05
26,3.167
27,2.785
28,2.089
29,1.151
30,0.3292
31,-0.6522
32,-1.598
33,-2.392
34,-2.917
35,-2.747
36,-1.732
37,-0.5477
38,0.5446
39,1.554
40,1.415
41,0.8961
42,0.5149
43,-0.1113
44,-0.5358
45,-0.6908
46,-0.7507
47,-0.7306
48,-0.6349
49,-0.5936
50,-0.5823
51,-0.4974
52,-0.2461
53,0.1551
54,0.6052
55,0.8515
56,0.8827
57,0.8045
58,0.6366
59,0.4976
60,0.3991
61,0.2768
62,0.1862
63,0.1645
64,0.09879
65,0.1176
66,0.1356
67,0.09558
68,0.04266
69,0.03947
70,0.04833
71,-0.03119
72,-0.1274
73,-0.2258
74,-0.3877
75,-0.5116
76,-0.4281
77,-0.2993
78,-0.2234
79,-0.01673
80,0.05667
81,0.003082
82,0.09575
83,0.1748
84,0.2287
85,0.3458
86,0.4195
87,0.3834
88,0.3722
89,0.4052
90,0.3926
91,0.4934
92,0.6039
93,0.545
94,0.5268
95,0.4351
96,0.3319
97,0.2963
98,0.2563
99,0.1739
100,0.07577
101,-0.05098
102,-0.2007
103,-0.2501
104,-0.252
105,-0.3158
106,-0.1862
107,-0.2313
108,-0.2415
109,-0.1409
110,-0.1356
111,-0.04525
112,0.1289
113,0.2397
114,0.3286
115,0.4103
116,0.3329
117,0.2435
118,0.03883
119,-0.09989
120,-0.1206
121,-0.1781
122,-0.1523
123,-0.1736
124,-0.3376
125,-0.6091
126,-0.8652
127,-0.9901
128,-0.9937
129,-0.9651
130,-0.9651
