x,y
0,8.389
1,4.619
2,0.8481
3,-1.456
4,-1.368
5,-1.28
6,-0.9962
7,-0.6502
8,-0.263
9,0.3775
10,1.018
11,1.394
12,1.527
13,1.659
14,1.12
15,0.5066
16,-0.01766
17,-0.3121
18,-0.6065
19,-0.7551
20,-0.8285
21,-0.8931
22,-0.7449
23,-0.5968
24,-0.5409
25,-0.6125
26,-0.6841
27,-0.6411
28,-0.5696
29,-0.4723
30,-0.2581
31,-0.04383
32,-0.1096
33,-0.3954
34,-0.6812
35,-0.421
36,-0.1259
37,0.233
38,0.7274
39,1.222
40,1.163
41,0.866
42,0.5552
43,0.07989
44,-0.3954
45,-0.7061
46,-0.8236
47,-0.9411
48,-0.8693
49,-0.7615
50,-0.6634
51,-0.5998
52,-0.5363
53,-0.4365
54,-0.3126
55,-0.1886
56,-0.005781
57,0.1783
58,0.2787
59,0.2305
60,0.1823
61,0.1941
62,0.2269
63,0.2569
64,0.2657
65,0.2746
66,0.2687
67,0.248
68,0.2272
69,0.171
70,0.11
71,0.06627
72,0.07203
73,0.07779
74,-0.0162
75,-0.1663
76,-0.3119
77,-0.2392
78,-0.1664
79,-0.1526
80,-0.2273
81,-0.302
82,-0.3758
83,-0.4492
84,-0.4883
85,-0.3475
86,-0.2067
87,-0.1447
88,-0.1497
89,-0.1547
90,-0.0639
91,0.03528
92,0.1472
93,0.2887
94,0.4302
95,0.4366
96,0.3795
97,0.3277
98,0.3605
99,0.3934
100,0.376
101,0.2948
102,0.2135
103,0.09563
104,-0.03026
105,-0.1453
106,-0.2169
107,-0.2884
108,-0.3177
109,-0.3165
110,-0.3152
111,-0.2427
112,-0.1674
113,-0.1174
114,-0.1167
115,-0.1161
116,-0.1164
117,-0.117
118,-0.1178
119,-0.1198
120,-0.1217
121,-0.1938
122,-0.342
123,-0.4901
124,-0.4493
125,-0.3777
126,-0.3067
127,-0.2375
128,-0.1683
129,-0.1683
130,-0.1683
