x,y
0,-2.137
1,-1.336
2,-0.6665
3,-0.3905
4,-0.5084
5,-0.5424
6,-0.4975
7,-0.2286
8,0.4168
9,1.196
10,1.966
11,2.594
12,2.761
13,2.365
14,1.625
15,0.73
16,-0.1247
17,-0.7596
18,-1.12
19,-1.278
20,-1.402
21,-1.386
22,-1.47
23,-1.763
24,-1.907
25,-1.687
26,-0.9035
27,0.3373
28,1.63
29,2.429
30,2.592
31,2.248
32,1.547
33,0.7338
34,-0.08284
35,-0.8935
36,-1.494
37,-1.681
38,-1.418
39,-0.8571
40,-0.5108
41,-0.7436
42,-1.387
43,-2.083
44,-1.862
45,-0.5682
46,0.728
47,1.712
48,1.678
49,1.065
50,0.6303
51,0.5142
52,0.5347
53,0.4082
54,0.09915
55,-0.2067
56,-0.2749
57,-0.1915
58,-0.1507
59,-0.0101
60,0.2431
61,0.8192
62,1.707
63,1.988
64,1.231
65,-0.02153
66,-1.082
67,-1.451
68,-0.6451
69,0.1985
70,0.454
71,0.2788
72,-0.061
73,-0.1731
74,-0.1721
75,-0.1735
76,-0.2054
77,-0.3214
78,-0.3127
79,-0.0534
80,0.1165
81,0.03995
82,-0.04804
83,-0.01638
84,0.127
85,0.199
86,0.3988
87,0.3636
88,-0.2258
89,-0.4531
90,-0.5642
91,-0.5683
92,-0.07786
93,0.347
94,0.3798
95,0.3278
96,0.3072
97,0.4432
98,0.8283
99,1.061
100,0.8427
101,0.3849
102,-0.07423
103,-0.2619
104,-0.01245
105,0.2461
106,0.4189
107,0.286
108,-0.1174
109,-0.05262
110,0.01076
111,0.2388
112,0.5739
113,0.2218
114,-0.1034
115,-0.1747
116,-0.2598
117,-0.03404
118,0.1501
119,-0.08473
120,-0.3568
121,-0.4405
122,-0.5428
123,-0.5618
124,-0.474
125,-0.6796
126,-0.8293
127,-0.5988
128,-0.5489
129,-0.2078
130,-0.2078
