x,y
0,2.094
1,-1.075
2,-1.192
3,-1.354
4,-1.464
5,-1.254
6,-1.1
7,-0.6048
8,-0.1873
9,0.5921
10,1.412
11,2.169
12,2.28
13,1.76
14,0.7586
15,-0.1727
16,-0.7337
17,-0.2879
18,0.09672
19,-0.1979
20,-0.6749
21,-1.304
22,-1.118
23,-1.497
24,-1.723
25,-1.298
26,-0.02874
27,1.633
28,2.46
29,2.325
30,1.692
31,1.067
32,0.4824
33,-0.248
34,-0.9696
35,-1.569
36,-1.602
37,-0.8556
38,-0.2517
39,-0.01687
40,-0.774
41,-1.678
42,-1.755
43,-1.072
44,0.104
45,0.7625
46,0.6181
47,0.2831
48,0.1653
49,0.6847
50,1.117
51,1.1
52,0.7277
53,0.2564
54,0.1665
55,0.148
56,0.1545
57,0.2464
58,0.19
59,0.2148
60,-0.1423
61,-0.1413
62,-0.1154
63,-0.09128
64,-0.4699
65,-0.6515
66,-0.7804
67,-0.1178
68,0.6927
69,0.7323
70,0.6822
71,0.006452
72,-0.06324
73,-0.1779
74,-0.2896
75,-0.2896
76,-0.2896
77,-0.2896
78,-0.2896
79,-0.2896
80,-0.2896
81,-0.2896
82,0.3396
83,1.77
84,2.575
85,2.204
86,0.3545
87,-1.317
88,-1.651
89,-1.232
90,-0.5509
91,-0.3035
92,-0.6171
93,-0.5253
94,-0.3138
95,0.7002
96,1.444
97,1.929
98,2.089
99,1.84
100,0.9045
101,-0.6774
102,-1.567
103,-1.408
104,-0.8835
105,-0.3791
106,-0.1896
107,0.232
108,0.6001
109,0.3125
110,-0.2342
111,-0.6397
112,-0.6657
113,-0.4184
114,0.01287
115,0.2899
116,0.2969
117,-0.006736
118,-0.3714
119,-0.4104
120,-0.2378
121,-0.1241
122,-0.2006
123,-0.5574
124,-0.7003
125,-0.3783
126,-0.01139
127,0.7364
128,0.9446
129,0.6132
130,-0.3632
