x,y
0,0.0002826
1,0.6125
2,0.4268
3,-0.9402
4,-1.378
5,-1.223
6,-0.9094
7,-0.5345
8,0.00834
9,0.8201
10,1.705
11,2.347
12,2.425
13,1.766
14,0.6707
15,-0.3111
16,-0.6454
17,-0.2605
18,-0.07657
19,-0.3593
20,-0.9381
21,-1.317
22,-1.37
23,-1.607
24,-1.896
25,-1.635
26,-0.4758
27,1.154
28,2.293
29,2.446
30,1.965
31,1.325
32,0.7341
33,0.1646
34,-0.4542
35,-1.072
36,-1.467
37,-1.331
38,-0.8886
39,-0.679
40,-1.105
41,-2.104
42,-2.786
43,-2.438
44,-1.345
45,-0.1207
46,0.7974
47,1.18
48,1.283
49,1.272
50,1.107
51,1.149
52,1.214
53,1.198
54,1.032
55,0.6338
56,0.2499
57,-0.08458
58,-0.2114
59,-0.1388
60,0.009197
61,0.07277
62,0.0361
63,-0.1035
64,-0.2384
65,-0.2657
66,-0.2311
67,-0.1477
68,-0.05867
69,-0.06745
70,-0.1119
71,-0.1792
72,-0.2913
73,-0.3695
74,-0.4246
75,-0.3351
76,-0.1236
77,0.06958
78,0.1698
79,0.08414
80,-0.06874
81,-0.07739
82,0.2158
83,0.8296
84,1.517
85,1.856
86,1.586
87,0.7457
88,-0.2403
89,-0.9566
90,-1.24
91,-1.197
92,-0.9241
93,-0.5695
94,-0.1447
95,0.4087
96,1.092
97,1.747
98,2.129
99,1.714
100,0.827
101,-0.2145
102,-0.8332
103,-0.9112
104,-0.7336
105,-0.5501
106,-0.3866
107,-0.2173
108,-0.0173
109,0.131
110,0.1002
111,-0.04347
112,-0.2055
113,-0.3079
114,-0.3121
115,-0.3047
116,-0.2474
117,-0.1801
118,-0.1296
119,-0.1791
120,-0.312
121,-0.4286
122,-0.4319
123,-0.353
124,-0.2989
125,-0.2384
126,-0.1624
127,0.02367
128,0.3313
129,0.4885
130,0.3049
