x,y
0,-0.5533
1,-0.5533
2,-0.5533
3,-0.5533
4,-0.5533
5,-0.5533
6,-0.5533
7,-0.5533
8,-0.5533
9,-0.5533
10,-0.5533
11,-0.5533
12,-0.5533
13,-0.5533
14,-0.5533
15,-0.5533
16,-0.5533
17,-0.5533
18,-0.5533
19,-0.5533
20,-0.5533
21,-0.5533
22,-0.5533
23,-0.5533
24,-0.5533
25,-0.5533
26,-0.5533
27,-0.5533
28,-0.5533
29,-0.5533
30,-0.5533
31,-0.5533
32,-0.5533
33,-0.5533
34,-0.5533
35,-0.5533
36,-0.5533
37,-0.5958
38,-0.6297
39,-0.6485
40,-0.6048
41,-0.5851
42,-0.589
43,-0.6327
44,-0.6549
45,-0.6657
46,-0.6657
47,-0.6657
48,-0.6667
49,-0.67
50,-0.7136
51,-0.7573
52,-0.801
53,-0.8446
54,-0.8736
55,-0.8904
56,-0.8904
57,-0.8904
58,-0.8904
59,-0.8904
60,-0.8904
61,-0.8904
62,-0.8904
63,-0.8904
64,-0.8815
65,-0.8618
66,-0.8182
67,-0.792
68,-0.7781
69,-0.7781
70,-0.7781
71,-0.7781
72,-0.7781
73,-0.8195
74,-0.8625
75,-0.9062
76,-0.9499
77,-0.9822
78,-1.003
79,-1.003
80,-1.003
81,-1.003
82,-1.003
83,-1.003
84,-1.002
85,-1
86,-0.9563
87,-0.9126
88,-0.869
89,-0.8253
90,-0.7816
91,-0.738
92,-0.6943
93,-0.6506
94,-0.6069
95,-0.5633
96,-0.5196
97,-0.4759
98,-0.4323
99,-0.3886
100,-0.3449
101,-0.3013
102,-0.2576
103,-0.2307
104,-0.2161
105,-0.2161
106,0.1963
107,0.7504
108,1.405
109,1.536
110,1.617
111,1.652
112,1.521
113,1.422
114,1.357
115,1.357
116,1.357
117,1.357
118,1.357
119,1.357
120,1.357
121,1.357
122,1.357
123,1.357
124,1.357
125,1.357
126,1.357
127,1.357
128,1.357
129,1.357
130,1.357
131,1.357
132,1.357
133,1.357
134,1.357
135,1.357
136,1.357
137,1.357
138,1.357
139,1.357
140,1.357
141,1.357
142,1.357
143,1.357
144,1.357
145,1.357
146,1.357
147,1.357
148,1.357
149,1.357
150,1.357
151,1.357
152,1.357
153,1.357
154,1.357
155,1.357
156,1.357
157,1.357
158,1.314
159,1.275
160,1.245
161,1.245
162,1.245
163,1.245
164,1.245
165,1.245
166,1.245
167,1.245
168,1.245
169,1.245
170,1.245
171,1.245
172,1.245
173,1.245
174,1.245
175,1.245
176,1.245
177,1.245
178,1.245
179,1.245
180,1.245
181,1.245
182,1.248
183,1.257
184,1.3
185,1.334
186,1.357
187,1.357
188,1.357
189,1.357
190,1.357
191,1.328
192,1.29
193,1.246
194,1.203
195,1.159
196,1.115
197,1.072
198,1.04
199,1.02
200,1.02
201,0.9989
202,0.9659
203,0.9223
204,0.9449
205,0.9799
206,1.02
207,1.02
208,1.02
209,1.02
210,1.02
211,1.02
212,1.02
213,1.02
214,1.02
215,1.02
216,1.02
217,0.9459
218,0.8603
219,0.7655
220,0.6344
221,0.5034
222,0.3724
223,0.2414
224,0.128
225,0.02664
226,-0.06071
227,-0.1197
228,-0.1695
229,-0.2132
230,-0.2569
231,-0.3005
232,-0.3442
233,-0.3879
234,-0.4429
235,-0.5096
236,-0.5969
237,-0.6843
238,-0.7716
239,-0.8589
240,-0.9141
241,-0.9627
242,-1.009
243,-1.096
244,-1.183
245,-1.271
246,-1.358
247,-1.445
248,-1.533
249,-1.62
250,-1.683
251,-1.736
252,-1.78
253,-1.751
254,-1.712
255,-1.669
256,-1.625
257,-1.581
258,-1.538
259,-1.494
260,-1.45
261,-1.407
262,-1.363
263,-1.319
264,-1.276
265,-1.232
266,-1.188
267,-1.145
268,-1.101
269,-1.057
270,-1.014
271,-0.9699
272,-0.9263
273,-0.9024
274,-0.8904
275,-0.8904
276,-0.8592
277,-0.8206
278,-0.7781
279,-0.7781
280,-0.7781
281,-0.7781
282,-0.7781
283,-0.7781
284,-0.7781
285,-0.7781
286,-0.7781
287,-0.7781
288,-0.7781
289,-0.7429
290,-0.7039
291,-0.6657
292,-0.6657
293,-0.6579
294,-0.6399
295,-0.5962
296,-0.5525
297,-0.5089
298,-0.4652
299,-0.4215
300,-0.3779
301,-0.3342
302,-0.2905
303,-0.2469
304,-0.2032
305,-0.1595
306,-0.126
307,-0.1037
308,-0.1037
309,-0.1037
310,-0.1037
311,-0.1037
312,-0.1037
313,-0.1037
314,-0.1037
