x,y
0,0.6868
1,0.6868
2,0.6868
3,0.6868
4,0.6868
5,0.6868
6,0.6868
7,0.6868
8,0.6868
9,0.6868
10,0.6868
11,0.6868
12,0.6868
13,0.6868
14,0.6868
15,0.6868
16,0.6868
17,0.6788
18,0.662
19,0.6172
20,0.5319
21,0.4604
22,0.4158
23,0.3712
24,0.3266
25,0.2903
26,0.2851
27,0.2756
28,0.2407
29,0.205
30,0.1604
31,0.1161
32,0.09738
33,0.07863
34,0.07765
35,0.07765
36,0.03318
37,-0.01725
38,-0.1357
39,-0.2696
40,-0.3918
41,-0.5101
42,-0.5758
43,-0.6172
44,-0.633
45,-0.633
46,-0.633
47,-0.633
48,-0.633
49,-0.633
50,-0.633
51,-0.633
52,-0.633
53,-0.633
54,-0.633
55,-0.633
56,-0.6284
57,-0.6077
58,-0.5908
59,-0.5947
60,-0.6076
61,-0.7084
62,-0.8096
63,-0.9221
64,-1.035
65,-1.037
66,-1.034
67,-0.9938
68,-0.9492
69,-0.9046
70,-0.8599
71,-0.8445
72,-0.838
73,-0.9064
74,-1.007
75,-1.111
76,-1.215
77,-1.297
78,-1.362
79,-1.407
80,-1.431
81,-1.438
82,-1.423
83,-1.397
84,-1.352
85,-1.309
86,-1.271
87,-1.243
88,-1.244
89,-1.254
90,-1.298
91,-1.347
92,-1.434
93,-1.519
94,-1.571
95,-1.623
96,-1.635
97,-1.647
98,-1.648
99,-1.648
100,-1.628
101,-1.604
102,-1.564
103,-1.52
104,-1.475
105,-1.43
106,-1.386
107,-1.341
108,-1.3
109,-1.261
110,-1.242
111,-1.242
112,-1.242
113,-1.242
114,-1.242
115,-1.242
116,-1.242
117,-1.242
118,-1.242
119,-1.242
120,-1.237
121,-1.209
122,-1.179
123,-1.135
124,-1.089
125,-1.026
126,-0.9624
127,-0.8876
128,-0.8126
129,-0.7745
130,-0.7396
131,-0.7389
132,-0.7441
133,-0.7794
134,-0.8227
135,-0.8024
136,-0.7578
137,-0.7132
138,-0.6685
139,-0.6025
140,-0.5217
141,-0.4531
142,-0.3955
143,-0.3439
144,-0.2993
145,-0.2636
146,-0.2417
147,-0.2269
148,-0.2269
149,-0.2233
150,-0.2098
151,-0.19
152,-0.1454
153,-0.1008
154,-0.0562
155,-0.01159
156,0.03303
157,0.07765
158,0.1223
159,0.1669
160,0.2115
161,0.2561
162,0.3316
163,0.4118
164,0.5242
165,0.6444
166,0.7747
167,0.9085
168,1.028
169,1.139
170,1.227
171,1.299
172,1.335
173,1.341
174,1.31
175,1.237
176,1.199
177,1.211
178,1.264
179,1.398
180,1.508
181,1.554
182,1.591
183,1.596
184,1.595
185,1.56
186,1.522
187,1.447
188,1.372
189,1.283
190,1.194
191,1.125
192,1.057
193,1.024
194,0.9964
195,1.011
196,1.036
197,1.115
198,1.212
199,1.334
200,1.468
201,1.602
202,1.736
203,1.798
204,1.802
205,1.785
206,1.746
207,1.69
208,1.611
209,1.539
210,1.48
211,1.439
212,1.445
213,1.46
214,1.504
215,1.549
216,1.593
217,1.638
218,1.683
219,1.727
220,1.764
221,1.802
222,1.801
223,1.798
224,1.758
225,1.714
226,1.634
227,1.546
228,1.458
229,1.368
230,1.279
231,1.19
232,1.119
233,1.059
234,1.008
235,0.9629
236,0.9283
237,0.9037
238,0.8898
239,0.8898
240,0.8898
241,0.8898
242,0.8898
243,0.8898
244,0.8893
245,0.8874
246,0.8782
247,0.8335
248,0.7933
249,0.7908
250,0.7868
251,0.7493
252,0.7118
253,0.6674
254,0.6227
255,0.5781
256,0.5335
257,0.509
258,0.4884
259,0.4235
260,0.3459
261,0.2283
262,0.09448
263,0.01816
264,-0.02646
265,-0.06771
266,-0.1065
267,-0.1261
268,-0.1273
269,-0.148
270,-0.1926
271,-0.253
272,-0.3391
273,-0.4144
274,-0.4668
275,-0.5172
276,-0.5619
277,-0.6167
278,-0.7169
279,-0.8156
280,-0.9029
281,-0.987
282,-1.013
283,-1.039
284,-1.025
285,-1.011
286,-0.9775
287,-0.9426
288,-0.9331
289,-0.9279
290,-0.8916
291,-0.847
292,-0.8024
293,-0.7578
294,-0.7132
295,-0.6685
296,-0.6239
297,-0.5793
298,-0.5681
299,-0.5868
300,-0.605
301,-0.6224
302,-0.633
303,-0.633
304,-0.6211
305,-0.5849
306,-0.5347
307,-0.4455
308,-0.358
309,-0.2778
310,-0.2023
311,-0.1577
312,-0.1131
313,-0.06849
314,-0.02387
