x,y
0,-0.369
1,-0.369
2,-0.369
3,-0.369
4,-0.369
5,-0.369
6,-0.369
7,-0.369
8,-0.369
9,-0.369
10,-0.369
11,-0.4276
12,-0.5133
13,-0.5938
14,-0.6134
15,-0.6153
16,-0.6153
17,-0.6153
18,-0.6153
19,-0.6153
20,-0.6153
21,-0.6153
22,-0.6153
23,-0.6153
24,-0.6153
25,-0.6153
26,-0.6153
27,-0.6153
28,-0.6153
29,-0.6153
30,-0.6153
31,-0.6153
32,-0.6153
33,-0.6153
34,-0.6348
35,-0.677
36,-0.7398
37,-0.8026
38,-0.8653
39,-0.9216
40,-0.9673
41,-0.9987
42,-1.04
43,-1.097
44,-1.156
45,-1.206
46,-1.238
47,-1.276
48,-1.329
49,-1.388
50,-1.437
51,-1.437
52,-1.437
53,-1.437
54,-1.436
55,-1.432
56,-1.403
57,-1.375
58,-1.368
59,-1.399
60,-1.429
61,-1.437
62,-1.437
63,-1.43
64,-1.399
65,-1.367
66,-1.355
67,-1.354
68,-1.357
69,-1.385
70,-1.416
71,-1.447
72,-1.479
73,-1.51
74,-1.517
75,-1.519
76,-1.509
77,-1.484
78,-1.452
79,-1.421
80,-1.389
81,-1.352
82,-1.299
83,-1.236
84,-1.188
85,-1.15
86,-1.119
87,-1.088
88,-1.056
89,-1.025
90,-0.9935
91,-0.9621
92,-0.9478
93,-0.9438
94,-0.9507
95,-0.9689
96,-1
97,-1.019
98,-1.026
99,-1.022
100,-1.008
101,-0.9767
102,-0.9453
103,-0.914
104,-0.8826
105,-0.8512
106,-0.8198
107,-0.7827
108,-0.7346
109,-0.6723
110,-0.6174
111,-0.5808
112,-0.5527
113,-0.5332
114,-0.5332
115,-0.5283
116,-0.506
117,-0.4746
118,-0.4432
119,-0.4118
120,-0.3784
121,-0.3292
122,-0.2668
123,-0.2053
124,-0.1728
125,-0.1414
126,-0.1101
127,-0.07869
128,-0.0473
129,-0.01592
130,0.01546
131,0.04684
132,0.07822
133,0.1096
134,0.1215
135,0.1237
136,0.1276
137,0.1537
138,0.1844
139,0.2303
140,0.2885
141,0.3512
142,0.414
143,0.4768
144,0.5294
145,0.5683
146,0.5997
147,0.6311
148,0.6624
149,0.6938
150,0.7252
151,0.7566
152,0.788
153,0.8194
154,0.8507
155,0.8821
156,0.9135
157,0.9449
158,0.9763
159,1.006
160,1.024
161,1.027
162,1.04
163,1.075
164,1.138
165,1.178
166,1.191
167,1.191
168,1.191
169,1.191
170,1.199
171,1.22
172,1.251
173,1.283
174,1.314
175,1.35
176,1.398
177,1.46
178,1.518
179,1.553
180,1.585
181,1.616
182,1.647
183,1.676
184,1.684
185,1.684
186,1.684
187,1.684
188,1.684
189,1.665
190,1.634
191,1.603
192,1.602
193,1.602
194,1.602
195,1.602
196,1.602
197,1.602
198,1.602
199,1.611
200,1.637
201,1.669
202,1.7
203,1.732
204,1.763
205,1.794
206,1.826
207,1.842
208,1.848
209,1.848
210,1.848
211,1.848
212,1.838
213,1.815
214,1.784
215,1.735
216,1.676
217,1.606
218,1.525
219,1.431
220,1.35
221,1.28
222,1.225
223,1.191
224,1.191
225,1.191
226,1.191
227,1.188
228,1.164
229,1.107
230,1.05
231,1.004
232,0.9724
233,0.9318
234,0.8748
235,0.812
236,0.7493
237,0.6865
238,0.6179
239,0.5333
240,0.4409
241,0.3533
242,0.2906
243,0.2248
244,0.1447
245,0.05105
246,-0.04048
247,-0.1054
248,-0.169
249,-0.244
250,-0.3381
251,-0.4323
252,-0.5264
253,-0.6205
254,-0.7005
255,-0.7344
256,-0.7659
257,-0.7973
258,-0.8287
259,-0.854
260,-0.8305
261,-0.8005
262,-0.7834
263,-0.7795
264,-0.7795
265,-0.7307
266,-0.6718
267,-0.609
268,-0.5463
269,-0.4835
270,-0.4017
271,-0.3114
272,-0.2173
273,-0.1231
274,-0.029
275,0.05082
276,0.1201
277,0.1828
278,0.2456
279,0.3084
280,0.3506
281,0.3701
282,0.3694
283,0.3537
284,0.3261
285,0.3016
286,0.288
287,0.288
288,0.276
289,0.2513
290,0.2241
291,0.2058
292,0.2058
293,0.1729
294,0.08868
295,-0.03273
296,-0.14
297,-0.2053
298,-0.2576
299,-0.2868
300,-0.2868
301,-0.2868
302,-0.2868
303,-0.2868
304,-0.2868
305,-0.2868
306,-0.283
307,-0.2602
308,-0.2299
309,-0.2047
310,-0.2047
311,-0.2036
312,-0.1854
313,-0.154
314,-0.1226
