x,y
0,-1.052
1,-1.052
2,-1.052
3,-1.052
4,-1.052
5,-1.052
6,-1.052
7,-1.052
8,-1.052
9,-1.052
10,-1.052
11,-1.055
12,-1.059
13,-1.07
14,-1.082
15,-1.094
16,-1.105
17,-1.117
18,-1.118
19,-1.119
20,-1.119
21,-1.119
22,-1.119
23,-1.119
24,-1.119
25,-1.119
26,-1.119
27,-1.119
28,-1.119
29,-1.119
30,-1.119
31,-1.119
32,-1.119
33,-1.119
34,-1.119
35,-1.119
36,-1.119
37,-1.119
38,-1.119
39,-1.119
40,-1.119
41,-1.119
42,-1.119
43,-1.119
44,-1.119
45,-1.119
46,-1.119
47,-1.119
48,-1.119
49,-1.119
50,-1.119
51,-1.119
52,-1.119
53,-1.119
54,-1.119
55,-1.119
56,-1.119
57,-1.119
58,-1.119
59,-1.119
60,-1.119
61,-1.119
62,-1.119
63,-1.119
64,-1.119
65,-1.119
66,-1.119
67,-1.119
68,-1.119
69,-1.133
70,-1.153
71,-1.177
72,-1.2
73,-1.224
74,-1.243
75,-1.26
76,-1.273
77,-1.284
78,-1.296
79,-1.308
80,-1.319
81,-1.331
82,-1.343
83,-1.355
84,-1.366
85,-1.378
86,-1.383
87,-1.385
88,-1.385
89,-1.385
90,-1.385
91,-1.379
92,-1.368
93,-1.347
94,-1.323
95,-1.3
96,-1.276
97,-1.253
98,-1.23
99,-1.206
100,-1.183
101,-1.16
102,-1.136
103,-1.113
104,-1.09
105,-1.066
106,-1.043
107,-1.02
108,-0.9963
109,-0.9729
110,-0.9496
111,-0.9262
112,-0.9028
113,-0.8799
114,-0.8576
115,-0.8423
116,-0.8306
117,-0.819
118,-0.8073
119,-0.7956
120,-0.7745
121,-0.7454
122,-0.7113
123,-0.6763
124,-0.6412
125,-0.6082
126,-0.5778
127,-0.5525
128,-0.5291
129,-0.5058
130,-0.4822
131,-0.4582
132,-0.4276
133,-0.3926
134,-0.3576
135,-0.3225
136,-0.2875
137,-0.2485
138,-0.2052
139,-0.1593
140,-0.1125
141,-0.06584
142,-0.01912
143,0.02759
144,0.0743
145,0.121
146,0.1677
147,0.2145
148,0.2614
149,0.3145
150,0.3728
151,0.4312
152,0.4896
153,0.548
154,0.6032
155,0.6537
156,0.7015
157,0.7482
158,0.795
159,0.8405
160,0.8834
161,0.9217
162,0.9567
163,0.9918
164,1.027
165,1.062
166,1.097
167,1.132
168,1.167
169,1.202
170,1.237
171,1.267
172,1.287
173,1.302
174,1.313
175,1.325
176,1.337
177,1.349
178,1.36
179,1.372
180,1.383
181,1.395
182,1.407
183,1.414
184,1.415
185,1.415
186,1.415
187,1.415
188,1.415
189,1.415
190,1.415
191,1.415
192,1.415
193,1.415
194,1.415
195,1.415
196,1.415
197,1.415
198,1.415
199,1.415
200,1.411
201,1.401
202,1.389
203,1.378
204,1.366
205,1.354
206,1.343
207,1.331
208,1.319
209,1.308
210,1.296
211,1.287
212,1.282
213,1.282
214,1.282
215,1.282
216,1.282
217,1.279
218,1.269
219,1.258
220,1.246
221,1.234
222,1.223
223,1.211
224,1.199
225,1.188
226,1.176
227,1.164
228,1.15
229,1.133
230,1.11
231,1.087
232,1.063
233,1.04
234,1.017
235,0.9933
236,0.9699
237,0.9466
238,0.9232
239,0.8998
240,0.8765
241,0.8531
242,0.8298
243,0.8064
244,0.7831
245,0.763
246,0.7482
247,0.7482
248,0.7482
249,0.7482
250,0.7482
251,0.7456
252,0.7269
253,0.7062
254,0.6828
255,0.6595
256,0.6362
257,0.6182
258,0.6021
259,0.5905
260,0.5788
261,0.5671
262,0.5566
263,0.5482
264,0.5482
265,0.5482
266,0.5482
267,0.5482
268,0.5475
269,0.5386
270,0.5287
271,0.517
272,0.5053
273,0.4936
274,0.482
275,0.4703
276,0.4586
277,0.4469
278,0.4353
279,0.4236
280,0.4119
281,0.4002
282,0.3886
283,0.3769
284,0.3652
285,0.3536
286,0.3504
287,0.3482
288,0.3482
289,0.3482
290,0.3482
291,0.3482
292,0.3482
293,0.3482
294,0.3482
295,0.3482
296,0.3482
297,0.3482
298,0.3482
299,0.3482
300,0.3482
301,0.3482
302,0.3482
303,0.3558
304,0.3648
305,0.3765
306,0.3881
307,0.3998
308,0.4115
309,0.4232
310,0.4348
311,0.4465
312,0.4582
313,0.4699
314,0.4815
