x,y
0,0.231
1,0.231
2,0.231
3,0.231
4,0.231
5,0.231
6,0.231
7,0.231
8,0.231
9,0.231
10,0.231
11,0.231
12,0.231
13,0.231
14,0.231
15,0.231
16,0.231
17,0.231
18,0.231
19,0.231
20,0.231
21,0.231
22,0.231
23,0.231
24,0.2241
25,0.1781
26,0.1316
27,0.08227
28,0.03935
29,0.02632
30,0.02176
31,0.05329
32,0.08303
33,0.1056
34,0.1234
35,0.1234
36,0.1234
37,0.1234
38,0.1175
39,0.09279
40,0.04745
41,-0.05881
42,-0.1762
43,-0.3243
44,-0.4723
45,-0.6204
46,-0.741
47,-0.7944
48,-0.8338
49,-0.8406
50,-0.8453
51,-0.8453
52,-0.8453
53,-0.8453
54,-0.8357
55,-0.8076
56,-0.7802
57,-0.7542
58,-0.7377
59,-0.7377
60,-0.7377
61,-0.7377
62,-0.7447
63,-0.7625
64,-0.8097
65,-0.9002
66,-0.9529
67,-0.9529
68,-0.9739
69,-1.023
70,-1.071
71,-1.121
72,-1.188
73,-1.276
74,-1.354
75,-1.418
76,-1.49
77,-1.568
78,-1.669
79,-1.793
80,-1.918
81,-2.047
82,-2.152
83,-2.235
84,-2.306
85,-2.366
86,-2.441
87,-2.529
88,-2.567
89,-2.565
90,-2.509
91,-2.41
92,-2.311
93,-2.212
94,-2.09
95,-1.95
96,-1.827
97,-1.715
98,-1.611
99,-1.512
100,-1.43
101,-1.357
102,-1.272
103,-1.181
104,-1.052
105,-0.9036
106,-0.7555
107,-0.6074
108,-0.4593
109,-0.3112
110,-0.1603
111,-0.008103
112,0.2112
113,0.458
114,0.7048
115,0.9516
116,1.168
117,1.373
118,1.461
119,1.511
120,1.498
121,1.466
122,1.399
123,1.323
124,1.246
125,1.17
126,1.101
127,1.034
128,0.9518
129,0.8661
130,0.8171
131,0.776
132,0.7692
133,0.7692
134,0.7692
135,0.7692
136,0.8105
137,0.8585
138,0.87
139,0.8761
140,0.8428
141,0.8044
142,0.7562
143,0.7068
144,0.6575
145,0.6081
146,0.5587
147,0.5094
148,0.478
149,0.4478
150,0.4463
151,0.4463
152,0.4371
153,0.4275
154,0.3744
155,0.3203
156,0.2221
157,0.1234
158,0.02468
159,-0.07347
160,-0.1276
161,-0.1817
162,-0.231
163,-0.2791
164,-0.2935
165,-0.3056
166,-0.2754
167,-0.2409
168,-0.1408
169,-0.03858
170,0.08894
171,0.2139
172,0.3126
173,0.408
174,0.4738
175,0.5258
176,0.4703
177,0.4093
178,0.3106
179,0.2118
180,0.1131
181,0.0144
182,-0.08432
183,-0.156
184,-0.09015
185,-0.01851
186,0.08021
187,0.1909
188,0.3527
189,0.5055
190,0.6227
191,0.7159
192,0.7214
193,0.7144
194,0.665
195,0.6156
196,0.5663
197,0.5169
198,0.4676
199,0.4204
200,0.3792
201,0.3771
202,0.4758
203,0.6158
204,0.8565
205,1.073
206,1.235
207,1.369
208,1.441
209,1.484
210,1.468
211,1.421
212,1.316
213,1.22
214,1.142
215,1.092
216,1.092
217,1.103
218,1.13
219,1.185
220,1.284
221,1.383
222,1.482
223,1.58
224,1.679
225,1.757
226,1.807
227,1.837
228,1.843
229,1.828
230,1.789
231,1.729
232,1.645
233,1.583
234,1.543
235,1.523
236,1.523
237,1.523
238,1.523
239,1.515
240,1.5
241,1.461
242,1.401
243,1.323
244,1.23
245,1.161
246,1.11
247,1.004
248,0.8556
249,0.7075
250,0.5594
251,0.3873
252,0.1988
253,0.02646
254,-0.1353
255,-0.2886
256,-0.4367
257,-0.5518
258,-0.6478
259,-0.7274
260,-0.798
261,-0.8763
262,-0.9586
263,-1.019
264,-1.068
265,-1.117
266,-1.167
267,-1.216
268,-1.266
269,-1.315
270,-1.364
271,-1.414
272,-1.463
273,-1.451
274,-1.417
275,-1.343
276,-1.257
277,-1.161
278,-1.063
279,-0.9639
280,-0.8652
281,-0.7665
282,-0.6677
283,-0.569
284,-0.4703
285,-0.3927
286,-0.32
287,-0.3071
288,-0.3071
289,-0.3071
290,-0.3071
291,-0.3071
292,-0.3071
293,-0.2658
294,-0.2178
295,-0.1686
296,-0.1193
297,-0.03591
298,0.05185
299,0.1193
300,0.1844
301,0.2089
302,0.2295
303,0.231
304,0.231
305,0.2131
306,0.1939
307,0.146
308,0.09667
309,0.05654
310,0.01678
311,0.01577
312,0.01577
313,0.01577
314,0.01577
